Name,Quiz1,Quiz2,Quiz3,Quiz4
Caleb,28,96,96,84
John,57,100,96,100
Joseph,85,86,95,84
Catherine,57,76,96,72
McKenna,41,47,44,42
Joanna,87,88,92,88
Colin,93,80,95,96
John,84,94,93,94
Carey,85,72,92,80
Joseph,42,32,80,88
Joel,84,85,78,85
Shaun,84,88,89,94
Lisa,53,56,65,66
William,60,80,45,88
Hannah,90,93,91,93
David,85,66,92,88
Bonnie,57,96,88,96
Marcy,71,80,88,92
Andrew,57,84,100,88
Bradley,85,84,72,69
Martha,72,86,74,80
Caleb,77,79,79,77
Jeanette,74,76,76,82
Gregory,78,67,92,77
Blake,100,93,100,100
Alec,71,80,75,72
Elizabeth,100,100,92,92
Paul,71,88,76,68
Gerald,85,100,96,96
Lauren,77,83,72,81
Isabella,77,76,69,78
Nate,71,74,78,73
Theodore,86,90,96,89
Mark,92,100,100,96
Dylan,85,80,76,84
Mary,74,81,77,74
Brian,57,64,92,92
James,82,88,92,87
Alan,59,63,59,60
Collin,94,91,84,86
Casey,74,82,75,76
Nicholas,95,83,85,87
Spencer,87,87,95,89
